species,species_code,target,min_val,sample_type,init_collect,max_depth
Atka mackerel,21921,100,0,random,20,2000
walleye pollock,21740,1500,0,random,4,2000
Pacific cod,21720,1000,0,random,4,2000
northern rock sole,10261,500,0,random,5,2000
southern rock sole,10262,500,5,random,3,2000
rex sole,10200,500,10,random,3,2000
Dover sole,10180,500,3,random,2,2000
flathead sole,10130,500,5,random,3,2000
arrowtooth flounder,10110,600,10,random,2,2000
rougheye rockfish,30051,350,0,random,5,2000
blackspotted rockfish,30052,250,0,random,5,2000
Pacific ocean perch,30060,1000,5,random,5,2000
northern rockfish,30420,700,0,random,20,2000
shortraker rockfish,30576,200,0,random,1,2000
dusky rockfish,30152,500,0,random,10,2000
silvergray rockfish,30100,100,0,stratified,1,2000
harlequin rockfish,30535,100,0,stratified,2,2000
sablefish,20510,350,0,random,2,200
